index,txn_type,from,to,date,eth,punk_id,type_str,USD
0,Transfer,0xc352b5,alien635…,2021-06-09,0.0,2,Female,0.0
1,Transfer,0xe34bde,0xfd9065,2021-02-04,0.0,5,Female,0.0
2,Transfer,0xc352b5,0xe34bde,2021-02-04,0.0,5,Female,0.0
3,Transfer,0xc352b5,alien635…,2021-06-09,0.0,30,Male,0.0
4,Transfer,0x5ea968,gary.vee…,2021-08-13,0.0,32,Male,0.0
5,Transfer,DANNY,0x5ea968,2021-02-18,0.0,32,Male,0.0
6,Transfer,0xc352b5,DANNY,2021-02-18,0.0,32,Male,0.0
7,Transfer,0xe34bde,0xfd9065,2021-02-04,0.0,39,Male,0.0
8,Transfer,0xc352b5,0xe34bde,2021-02-04,0.0,39,Male,0.0
9,Transfer,0xe34bde,0xfd9065,2021-02-04,0.0,49,Female,0.0
10,Transfer,0xc352b5,0xe34bde,2021-02-04,0.0,49,Female,0.0
11,Transfer,0xe34bde,0xfd9065,2021-02-04,0.0,51,Male,0.0
12,Transfer,0xc352b5,0xe34bde,2021-02-04,0.0,51,Male,0.0
13,Sold,0xb813c6,0xe20388,2021-08-23,129.99,53,Female,431837.7356663916
14,Transfer,jmg,0xb813c6,2021-03-17,0.0,53,Female,0.0
15,Sold,0xdcf227,jmg,2021-02-19,22.0,53,Female,43065.0
16,Sold,0xc352b5,0xdcf227,2021-02-01,20.0,53,Female,27360.8027396
17,Transfer,0xc352b5,alien635…,2021-06-09,0.0,58,Male,0.0
18,Transfer,0xe34bde,0xfd9065,2021-02-04,0.0,60,Female,0.0
19,Transfer,0xc352b5,0xe34bde,2021-02-04,0.0,60,Female,0.0
20,Transfer,0xe34bde,0xfd9065,2021-02-04,0.0,63,Male,0.0
21,Transfer,0xc352b5,0xe34bde,2021-02-04,0.0,63,Male,0.0
22,Transfer,0xe34bde,0xfd9065,2021-02-04,0.0,68,Male,0.0
23,Transfer,0xc352b5,0xe34bde,2021-02-04,0.0,68,Male,0.0
24,Transfer,0xe34bde,0xfd9065,2021-02-04,0.0,69,Male,0.0
25,Transfer,0xc352b5,0xe34bde,2021-02-04,0.0,69,Male,0.0
26,Transfer,0xe34bde,0xfd9065,2021-02-04,0.0,74,Male,0.0
27,Transfer,0xc352b5,0xe34bde,2021-02-04,0.0,74,Male,0.0
28,Transfer,0xe34bde,0xfd9065,2021-02-04,0.0,78,Male,0.0
29,Transfer,0xc352b5,0xe34bde,2021-02-04,0.0,78,Male,0.0
30,Transfer,0xe34bde,0xfd9065,2021-02-04,0.0,79,Male,0.0
31,Transfer,0xc352b5,0xe34bde,2021-02-04,0.0,79,Male,0.0
32,Transfer,0xe34bde,0xfd9065,2021-02-04,0.0,84,Male,0.0
33,Transfer,0xc352b5,0xe34bde,2021-02-04,0.0,84,Male,0.0
34,Transfer,0xe34bde,0xfd9065,2021-02-04,0.0,95,Male,0.0
35,Transfer,0xc352b5,0xe34bde,2021-02-04,0.0,95,Male,0.0
36,Transfer,0xc352b5,0xb88f61,2021-02-05,0.0,102,Male,0.0
37,Transfer,0x2cbee4,imgnhw.e…,2021-03-07,0.0,103,Female,0.0
38,Transfer,0x35388c,0x2cbee4,2021-03-05,0.0,103,Female,0.0
39,Transfer,0xc352b5,0x35388c,2021-02-04,0.0,103,Female,0.0
40,Transfer,0x2cbee4,Coldie,2021-03-07,0.0,108,Female,0.0
41,Transfer,0x35388c,0x2cbee4,2021-03-05,0.0,108,Female,0.0
42,Transfer,0xc352b5,0x35388c,2021-02-04,0.0,108,Female,0.0
43,Transfer,0x2cbee4,illestra…,2021-03-07,0.0,109,Male,0.0
44,Transfer,0x35388c,0x2cbee4,2021-03-05,0.0,109,Male,0.0
45,Transfer,0xc352b5,0x35388c,2021-02-04,0.0,109,Male,0.0
46,Transfer,0x5d7c72,krybhara…,2021-05-05,0.0,111,Male,0.0
47,Transfer,krybhara…,0x5d7c72,2021-04-12,0.0,111,Male,0.0
48,Transfer,0x2cbee4,krybhara…,2021-03-07,0.0,111,Male,0.0
49,Transfer,0x35388c,0x2cbee4,2021-03-05,0.0,111,Male,0.0
